article,year_week,price,target
Безалкогольные напитки #1,201933,101.5,5.0
Безалкогольные напитки #1,202006,101.5,1.0
Безалкогольные напитки #1,201852,101.5,0.0
Безалкогольные напитки #1,202046,101.5,0.0
Безалкогольные напитки #1,201924,101.5,19.0
Безалкогольные напитки #1,202047,101.5,0.0
Безалкогольные напитки #1,201851,101.5,0.0
Безалкогольные напитки #1,201930,101.5,18.0
Безалкогольные напитки #1,202112,101.5,18.0
Безалкогольные напитки #1,201938,101.5,0.0
Безалкогольные напитки #1,202108,85.5,42.0
Безалкогольные напитки #1,201916,101.5,22.0
Безалкогольные напитки #1,201946,101.5,0.0
Безалкогольные напитки #1,201937,101.5,0.0
Безалкогольные напитки #1,202109,89.8,28.0
Безалкогольные напитки #1,201902,101.5,0.0
Безалкогольные напитки #1,201943,101.5,0.0
Безалкогольные напитки #1,201952,101.5,0.0
Безалкогольные напитки #1,202029,101.5,18.0
Безалкогольные напитки #1,201847,101.5,0.0
Безалкогольные напитки #1,202003,101.5,0.0
Безалкогольные напитки #1,202035,101.5,4.0
Безалкогольные напитки #1,201912,101.5,15.0
Безалкогольные напитки #1,202107,101.5,6.0
Безалкогольные напитки #1,201951,101.5,0.0
Безалкогольные напитки #1,202034,101.5,6.0
Безалкогольные напитки #1,201927,72.3,90.0
Безалкогольные напитки #1,202010,101.5,29.0
Безалкогольные напитки #1,201926,101.5,28.0
Безалкогольные напитки #1,202048,101.5,0.0
Безалкогольные напитки #1,202009,101.5,11.0
Безалкогольные напитки #1,202051,101.5,0.0
Безалкогольные напитки #1,202016,101.5,22.0
Безалкогольные напитки #1,202015,101.5,17.0
Безалкогольные напитки #1,201846,101.5,0.0
Безалкогольные напитки #1,201849,101.5,0.0
Безалкогольные напитки #1,201845,101.5,0.0
Безалкогольные напитки #1,201922,101.5,33.0
Безалкогольные напитки #1,201935,81.6,10.0
Безалкогольные напитки #1,201918,101.5,31.0
Безалкогольные напитки #1,201941,101.5,0.0
Безалкогольные напитки #1,201853,78.2,0.0
Безалкогольные напитки #1,202045,101.5,0.0
Безалкогольные напитки #1,202043,86.6,0.0
Безалкогольные напитки #1,201915,75.5,68.0
Безалкогольные напитки #1,202104,90.8,0.0
Безалкогольные напитки #1,202005,74.3,0.0
Безалкогольные напитки #1,201947,80.7,0.0
Безалкогольные напитки #1,201903,101.5,0.0
Безалкогольные напитки #1,201848,101.5,0.0
Безалкогольные напитки #1,201910,101.5,38.0
Безалкогольные напитки #1,202001,82.5,0.0
Безалкогольные напитки #1,201925,77.7,72.0
Безалкогольные напитки #1,202040,101.5,0.0
Безалкогольные напитки #1,202106,101.5,3.0
Безалкогольные напитки #1,202037,101.5,0.0
Безалкогольные напитки #1,202044,101.5,0.0
Безалкогольные напитки #1,202036,101.5,0.0
Безалкогольные напитки #1,202028,101.5,16.0
Безалкогольные напитки #1,201950,101.5,0.0
Безалкогольные напитки #1,201921,101.5,30.0
Безалкогольные напитки #1,202012,101.5,19.0
Безалкогольные напитки #1,202017,101.5,31.0
Безалкогольные напитки #1,202039,101.5,0.0
Безалкогольные напитки #1,201944,77.5,0.0
Безалкогольные напитки #1,202102,101.5,0.0
Безалкогольные напитки #1,202002,101.5,0.0
Безалкогольные напитки #1,201939,101.5,0.0
Безалкогольные напитки #1,201905,101.5,1.0
Безалкогольные напитки #1,201909,101.5,13.0
Безалкогольные напитки #1,202105,82.3,0.0
Безалкогольные напитки #1,201920,101.5,24.0
Безалкогольные напитки #1,201932,101.5,7.0
Безалкогольные напитки #1,201945,101.5,0.0
Безалкогольные напитки #1,202027,101.5,
Безалкогольные напитки #1,201913,72.0,90.0
Безалкогольные напитки #1,202053,101.5,0.0
Безалкогольные напитки #1,201953,101.5,0.0
Безалкогольные напитки #1,202049,101.5,0.0
Безалкогольные напитки #1,202013,101.5,22.0
Безалкогольные напитки #1,202052,101.5,0.0
Безалкогольные напитки #1,202033,101.5,9.0
Безалкогольные напитки #1,202111,80.8,-1.0
Безалкогольные напитки #1,201906,101.5,2.0
Безалкогольные напитки #1,202018,101.5,
Безалкогольные напитки #1,201949,86.8,0.0
Безалкогольные напитки #1,201907,101.5,10.0
Безалкогольные напитки #1,202030,83.6,-1.0
Безалкогольные напитки #1,201911,101.5,13.0
Безалкогольные напитки #1,201936,101.5,0.0
Безалкогольные напитки #1,202008,101.5,17.0
Безалкогольные напитки #1,202110,101.5,11.0
Безалкогольные напитки #1,201904,101.5,0.0
Безалкогольные напитки #1,201914,101.5,24.0
Безалкогольные напитки #1,202042,101.5,0.0
Безалкогольные напитки #1,201923,101.5,28.0
Безалкогольные напитки #1,201931,101.5,15.0
Безалкогольные напитки #1,202032,78.5,22.0
Безалкогольные напитки #1,201908,85.7,31.0
Безалкогольные напитки #1,201928,101.5,19.0
Безалкогольные напитки #1,201948,101.5,0.0
Безалкогольные напитки #1,202014,101.5,20.0
Безалкогольные напитки #1,201942,101.5,0.0
Безалкогольные напитки #1,201934,83.1,10.0
Безалкогольные напитки #1,201917,101.5,29.0
Безалкогольные напитки #1,201929,72.5,57.0
Безалкогольные напитки #1,202101,101.5,0.0
Безалкогольные напитки #1,202031,101.5,13.0
Безалкогольные напитки #1,202103,101.5,0.0
Безалкогольные напитки #2,201926,61.2,25.0
Безалкогольные напитки #2,201852,56.5,0.0
Безалкогольные напитки #2,201903,73.6,0.0
Безалкогольные напитки #2,202105,73.6,0.0
Безалкогольные напитки #2,201912,73.6,6.0
Безалкогольные напитки #2,201913,73.6,9.0
Безалкогольные напитки #2,202017,57.6,40.0
Безалкогольные напитки #2,201952,73.6,0.0
Безалкогольные напитки #2,202107,73.6,3.0
Безалкогольные напитки #2,201849,73.6,0.0
Безалкогольные напитки #2,202053,73.6,0.0
Безалкогольные напитки #2,202110,73.6,6.0
Безалкогольные напитки #2,201919,73.6,24.0
Безалкогольные напитки #2,202006,73.6,1.0
Безалкогольные напитки #2,201917,73.6,13.0
Безалкогольные напитки #2,201933,73.6,3.0
Безалкогольные напитки #2,202052,73.6,0.0
Безалкогольные напитки #2,202108,73.6,11.0
Безалкогольные напитки #2,202024,65.4,18.0
Безалкогольные напитки #2,201941,73.6,0.0
Безалкогольные напитки #2,202013,73.6,11.0
Безалкогольные напитки #2,201928,60.8,15.0
Безалкогольные напитки #2,201931,73.6,7.0
Безалкогольные напитки #2,201950,55.6,0.0
Безалкогольные напитки #2,201939,58.5,0.0
Безалкогольные напитки #2,202025,73.6,13.0
Безалкогольные напитки #2,202012,73.6,8.0
Безалкогольные напитки #2,201953,73.6,0.0
Безалкогольные напитки #2,201918,73.6,13.0
Безалкогольные напитки #2,202042,73.6,0.0
Безалкогольные напитки #2,202046,73.6,0.0
Безалкогольные напитки #2,201935,63.1,5.0
Безалкогольные напитки #2,202101,73.6,0.0
Безалкогольные напитки #2,201945,73.6,0.0
Безалкогольные напитки #2,201904,73.6,0.0
Безалкогольные напитки #2,201911,73.6,5.0
Безалкогольные напитки #2,202008,73.6,9.0
Безалкогольные напитки #2,201845,73.6,0.0
Безалкогольные напитки #2,202038,58.9,0.0
Безалкогольные напитки #2,202037,55.7,0.0
Безалкогольные напитки #2,202028,73.6,8.0
Безалкогольные напитки #2,202050,73.6,0.0
Безалкогольные напитки #2,201923,73.6,12.0
Безалкогольные напитки #2,202011,73.6,6.0
Безалкогольные напитки #2,201908,73.6,7.0
Безалкогольные напитки #2,201915,73.6,0.0
Безалкогольные напитки #2,201936,73.6,0.0
Безалкогольные напитки #2,202049,73.6,0.0
Безалкогольные напитки #2,201932,73.6,5.0
Безалкогольные напитки #2,202104,73.6,0.0
Безалкогольные напитки #2,202031,73.6,7.0
Безалкогольные напитки #2,202045,52.1,0.0
Безалкогольные напитки #2,201914,65.1,18.0
Безалкогольные напитки #2,201946,54.8,0.0
Безалкогольные напитки #2,201927,73.6,11.0
Безалкогольные напитки #2,202002,73.6,0.0
Безалкогольные напитки #2,202021,73.6,15.0
Безалкогольные напитки #2,201934,57.9,7.0
Безалкогольные напитки #2,201907,73.6,4.0
Безалкогольные напитки #2,202001,73.6,0.0
Безалкогольные напитки #2,202016,73.6,12.0
Безалкогольные напитки #2,202040,73.6,0.0
Безалкогольные напитки #2,202023,73.6,-1.0
Безалкогольные напитки #2,201951,57.0,0.0
Безалкогольные напитки #2,201937,73.6,0.0
Безалкогольные напитки #2,201847,73.6,0.0
Безалкогольные напитки #2,201922,73.6,14.0
Безалкогольные напитки #2,201909,73.6,5.0
Безалкогольные напитки #2,201938,73.6,0.0
Безалкогольные напитки #2,202047,73.6,0.0
Безалкогольные напитки #2,202026,54.5,43.0
Безалкогольные напитки #2,202009,73.6,4.0
Безалкогольные напитки #2,202015,73.6,9.0
Безалкогольные напитки #2,202112,52.9,39.0
Безалкогольные напитки #2,201920,56.9,26.0
Безалкогольные напитки #2,201925,73.6,10.0
Безалкогольные напитки #2,201916,73.6,8.0
Безалкогольные напитки #2,202051,73.6,0.0
